member,phrase,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,spectral_rolloff_mean,spectral_rolloff_std,rms_energy_mean,rms_energy_std,zcr_mean,chroma_mean
jok,confirm_transaction_1,-439.2169,146.05104,3.5884473,22.06209,5.201641,7.2165155,-2.875819,-3.3882048,-3.4009335,-0.6241426,-3.7793596,-1.491879,-10.361206,77.455154,39.246014,18.021065,14.079572,9.372511,11.724265,7.250692,9.331741,6.8167267,6.393844,7.636465,6.033561,7.3685403,2797.040539253049,1970.9359902211781,0.009888358,0.008086597,0.060415872713414635,0.41498604
jok,confirm_transaction_2,-469.13022,168.03935,4.055731,18.46887,2.3660018,5.385142,-1.7458407,4.256495,-1.5591791,4.63047,1.308099,-6.982617,-11.777461,67.518456,34.895317,19.514202,9.9025755,8.676232,10.655043,6.412452,6.8835344,8.499775,6.522044,8.993635,8.027193,7.541307,2158.406895915354,1730.6864302320816,0.0074659535,0.0050449395,0.0480707123523622,0.41833353
innocent,yes_approve,-329.10107,143.84982,4.5834575,22.97758,22.47121,28.186127,15.861259,6.519451,10.247778,2.6465092,-10.158018,-8.995857,7.4731765,51.579334,36.054993,20.406364,16.442032,12.014091,11.822151,14.807747,14.891904,9.60045,8.391474,12.089157,18.067142,12.047997,2343.5302734375,1918.0058541921526,0.05228378,0.046234634,0.04731602822580645,0.5034398
innocent,yes_approve_1,-358.72873,133.7099,-0.6533438,16.753456,17.393852,1.2123704,2.541467,6.0762343,-3.6818688,3.8513033,0.23368031,-8.239593,3.228817,109.21056,41.412437,36.02748,21.434824,14.588942,18.472763,16.311687,8.981412,13.350556,9.331264,12.29542,13.817526,8.865839,2559.3213458393893,1688.9882303886532,0.047018424,0.068493925,0.06746230014534883,0.507732
innocent,yes_approve_2,-362.89148,124.35073,8.931359,11.199066,15.262042,6.4069963,3.9214575,2.9976587,-0.40005693,2.32081,-0.8579515,-5.13279,3.1838224,98.58673,41.490032,33.268276,21.44701,13.421725,17.801407,12.132569,9.376271,11.916666,7.436348,7.892946,12.697113,9.151754,2596.024445564516,1994.0174221920781,0.043760788,0.067905985,0.07265414986559139,0.5176245
innocent,confirm_transaction,-351.57602,143.82446,-9.005965,19.394773,19.341064,34.649174,17.560213,2.8062222,10.77654,-4.7608423,-6.710957,-7.8583,4.0926714,57.26091,25.470573,15.98016,19.728529,14.718555,17.783762,18.811163,12.783586,10.544019,12.35326,9.909499,18.239704,11.315309,2395.8572387695312,1379.926237156519,0.035715256,0.032749224,0.048858642578125,0.48868915
innocent,confirm_transaction_1,-333.65555,107.2733,20.320694,9.083792,10.500848,6.883796,8.208588,9.345306,-15.597659,4.32718,0.87674844,-1.0172951,-1.8756901,124.2076,41.520775,18.330389,21.627527,10.413495,18.155287,12.887535,9.979937,19.793564,7.7491574,7.6198587,8.627578,7.9226103,3692.1339465725805,2353.662827540371,0.03891728,0.042703435,0.09573987735215053,0.44481674
innocent,confirm_transaction_2,-308.8056,92.07366,20.33971,10.000164,7.532949,7.9534926,7.8749866,10.081572,-12.263655,5.3605647,2.0988836,-0.3528668,-1.526718,117.318504,45.354515,20.697447,24.845839,12.030884,17.338926,10.864541,8.80848,17.01661,11.929137,10.165946,7.6290555,9.715441,4295.0636340725805,2382.7277356723275,0.04415168,0.04714608,0.1176705309139785,0.44187257
vincent,yes_approve,-429.67017,85.59438,28.277678,3.8861594,5.5743546,0.2192456,-2.92044,2.8703713,-5.047389,0.44615203,-0.4390667,3.9122896,0.7163309,100.72925,49.054703,17.788252,14.721628,17.312193,13.633492,8.734273,9.116991,8.7367,8.0978985,9.018267,6.5347834,7.4134903,6100.880225929054,2078.332076093252,0.011207013,0.01768328,0.1485595703125,0.52771664
vincent,yes_approve_1,-449.67093,69.12204,10.875462,7.941505,11.954878,9.655511,-3.497905,4.7284102,7.4016705,-3.7065947,-1.5318539,0.91785824,0.67480886,127.87039,48.96545,20.620102,13.782996,11.6001625,12.448282,14.355008,6.4994707,7.5454054,11.245727,7.277654,9.388448,7.4851365,5846.2646484375,2215.110500401116,0.015406665,0.027132977,0.15394137198464913,0.5835532
vincent,yes_approve_2,-388.05478,60.93647,24.100315,12.891834,1.59917,17.44506,5.6910105,0.49077085,-2.1570818,1.177288,-2.5659347,6.156463,2.699597,148.13193,56.52493,16.189735,19.061745,19.957111,14.469744,11.331989,10.069939,7.3603926,7.2646117,8.956399,9.455631,9.440822,5797.896506569602,2118.540427600002,0.033574067,0.052168645,0.16306744199810605,0.5414568
vincent,confirm_transaction,-373.5382,82.31848,16.256155,3.3784556,4.6272397,0.89802,-3.7108467,6.2511306,-7.0153966,-0.42933646,-6.382135,0.5451202,-0.3169283,117.086815,47.924774,26.239485,12.539471,15.241885,14.937203,10.456636,9.203242,6.9487724,6.623269,10.6383295,7.832595,6.126167,6166.633641442587,2092.7532767231196,0.016423423,0.017825847,0.14287336482558138,0.4976311
vincent,confirm_transaction_1,-448.04492,84.91222,6.1648607,12.474222,10.84025,8.3077545,-4.2405167,13.002706,-1.2529061,0.9158614,-1.024304,-0.928959,4.714053,135.50146,37.221325,22.808601,11.966746,16.096552,16.482958,13.613206,12.38223,11.412329,6.384326,8.69341,9.673232,6.6600614,5382.974520596591,1737.4801190754122,0.014842266,0.020893572,0.10978190104166667,0.56155115
vincent,confirm_transaction_2,-382.16946,76.92754,17.622675,17.904547,13.00531,14.137456,6.0173655,11.768692,-3.5802405,4.866814,1.969003,6.2396994,1.8019525,174.09859,46.642357,26.286901,13.840098,14.304356,17.128431,13.572343,8.317449,14.028123,9.32944,8.457787,8.013626,5.679594,5049.674166165865,1909.3319545599566,0.04553878,0.06458223,0.08114545773237179,0.5604067
